pattern_type,side,horizon_5m_bars,events,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,median_time_to_mfe_min,median_time_to_mae_min
bearish_engulfing,SHORT,1,5945,0.5412360511012784,0.3902528460888201,0.4762094840903334,0.3657324167107083,2.0,2.0
bullish_engulfing,LONG,1,6161,0.5351730784968098,0.37729313716794893,0.47133976096868996,0.3500854498509131,2.0,2.0
bullish_hammer,LONG,1,2639,0.6060088680935556,0.46271771541291146,0.6082511755277487,0.4334828101644335,2.0,2.0
shooting_star,SHORT,1,4391,0.6621635294376489,0.4980661169086854,0.6369328028985599,0.4798025188433934,2.0,2.0
bearish_engulfing,SHORT,3,5945,0.9179627443523345,0.6479169747636114,0.8304207093675787,0.6158362948931566,6.0,7.0
bullish_engulfing,LONG,3,6161,0.8860692272213024,0.6114545361487504,0.836856829778149,0.5884373520860093,6.0,7.0
bullish_hammer,LONG,3,2639,1.0112534025709847,0.7790870383205633,1.045452320868838,0.7190826993332318,7.0,6.0
shooting_star,SHORT,3,4391,1.1256790125005478,0.8248780889470677,1.0997664792929136,0.7898125985538105,7.0,7.0
bearish_engulfing,SHORT,6,5945,1.3073539607675009,0.9121744629476924,1.1957978983127957,0.8546847839784482,12.0,15.0
bullish_engulfing,LONG,6,6161,1.2297382805949406,0.8447651953468264,1.2168893887855072,0.8156252862566176,12.0,15.0
bullish_hammer,LONG,6,2639,1.4511539543572918,1.0900483205195837,1.4856072325702858,1.0535781412387053,14.0,12.0
shooting_star,SHORT,6,4391,1.615381201902761,1.1463822841887665,1.559866296305699,1.1578307797691256,13.0,14.0
bearish_engulfing,SHORT,12,5945,1.8747561160281458,1.307559505278381,1.7110759088397318,1.2362550077238592,24.0,28.0
bullish_engulfing,LONG,12,6161,1.7512474037109396,1.2104476936310045,1.7799552212467407,1.233758265341364,25.0,28.0
bullish_hammer,LONG,12,2639,2.0547807802288336,1.5302195729270733,2.187120762155964,1.4956180114838666,28.0,25.0
shooting_star,SHORT,12,4391,2.3395814961152452,1.6403890198160027,2.259105786141585,1.667167250681407,25.0,27.0
bearish_engulfing,SHORT,24,5945,2.746908588870128,1.9084780601669267,2.483786616824274,1.7602813386563343,50.0,55.0
bullish_engulfing,LONG,24,6161,2.524992016190966,1.7324389986267954,2.625365098557653,1.791503418606486,51.0,53.0
bullish_hammer,LONG,24,2639,2.910871275920153,2.0907784431137926,3.2622880659222258,2.1717684400154447,54.0,50.0
shooting_star,SHORT,24,4391,3.494588647446476,2.3605540763710193,3.2648069977791363,2.3118851798097864,51.0,53.0
