label,trend_regime,volatility_regime,trade_count,net_pnl,profit_factor,win_rate,avg_mae,avg_mfe,top5_profit_contribution,cost_2x_pf
B1,downtrend,high_vol,32,-622.771630418904,0.3201379086139827,21.875,-2.059554955888003,2.979380784749372,0.0,0.2851281852566163
B1,downtrend,low_vol,57,-498.1745343949828,0.5064778319111725,22.807017543859647,-2.206237788445801,3.7368070203435764,0.0,0.4337607895563514
B1,downtrend,mid_vol,43,-371.48430608167416,0.5849749251454388,32.55813953488372,-2.0946847933172585,3.971843925524086,0.0,0.5110395088632017
B1,range,high_vol,2,168.11582703576133,6.711718976709098,50.0,-0.9835552685641795,8.20041819177763,117.50786416624732,6.222671525331915
B1,range,low_vol,8,329.9415010777413,9.101107714048682,87.5,-0.9522113149943523,9.758451742427113,111.8898381988243,7.811144011257194
B1,range,mid_vol,11,285.64308202716455,4.294539071723854,63.63636363636363,-1.0960919594281964,7.429587259300257,124.77135782850422,3.6844417468792234
B1,uptrend,high_vol,41,-70.45944045090573,0.9292827537214948,31.70731707317073,-1.981489828249731,5.131381142753459,0.0,0.8349204689538212
B1,uptrend,low_vol,67,-530.9706260756242,0.5953865207893744,23.88059701492537,-2.223899917393965,4.577333874815987,0.0,0.5166276397360121
B1,uptrend,mid_vol,63,1167.7685097479311,1.9020346375604895,34.92063492063492,-1.9777623728893134,6.9037055593968,136.63194701461333,1.7182403010980312
B2,downtrend,high_vol,17,-358.02972048153197,0.20770958065823014,11.76470588235294,-1.7378148147642551,2.643057776238168,0.0,0.1807046589853913
B2,downtrend,low_vol,34,-384.04768769271135,0.4506816359944452,23.52941176470588,-2.215572991658625,3.697291705290688,0.0,0.38695924877750976
B2,downtrend,mid_vol,24,128.17028587089368,1.3012764352317439,37.5,-1.6709461027770232,4.557851408809774,362.25796872858444,1.1399195980943888
B2,range,high_vol,2,194.01912663871417,inf,100.0,-1.604771280924314,7.903905656170124,100.0,inf
B2,range,low_vol,6,238.465810798608,5.042251534299568,66.66666666666666,-0.7531155060794098,7.869036970097714,124.73868811761804,4.416158566922309
B2,range,mid_vol,7,164.21826521029158,2.22643078056483,57.14285714285714,-1.6182485105686069,7.934332368789694,181.53741864986887,2.0344414819880297
B2,uptrend,high_vol,26,157.97139321351443,1.3001383055834985,23.076923076923077,-1.6525744853621747,5.2522045425839154,414.984515782774,1.1604041169238766
B2,uptrend,low_vol,35,-313.307175897645,0.5943744709335698,20.0,-2.0899596520233006,3.785324660976722,0.0,0.5210465120679639
B2,uptrend,mid_vol,44,588.5361765033551,1.6000203497361785,36.36363636363637,-1.936076815527848,6.008463489837509,170.20404264528938,1.4452465444190021
B3,downtrend,high_vol,6,-178.13424244373982,0.0,0.0,-1.755048358172579,1.4792384930300841,0.0,0.0
B3,downtrend,low_vol,6,81.15730527328236,1.6203094365957729,33.33333333333333,-1.7440508308330545,5.087623181846689,261.2098641426366,1.4531517244290217
B3,downtrend,mid_vol,7,282.70013537253976,4.490629593125079,57.14285714285714,-1.3075287972707461,6.416767443550635,128.6481270304227,3.9197262531082453
B3,range,high_vol,3,173.3836720422749,inf,100.0,-1.0441847531762602,6.416004054588516,100.0,inf
B3,range,low_vol,2,36.066272837369105,3.9558416463781447,50.0,-0.7119852319433402,6.474275745976328,133.83131167480914,3.2041131601055954
B3,range,mid_vol,6,92.45328208020467,1.7071143875989072,50.0,-1.7045096613034492,5.6404248796271785,241.41983497120196,1.5387565360533348
B3,uptrend,high_vol,15,19.12084562081818,1.0683777936332146,33.33333333333333,-1.6454191593060181,4.45509487724617,1562.4630992981472,0.9399791352003759
B3,uptrend,low_vol,16,106.52363399402984,1.347772039902271,31.25,-1.8579533381391513,4.900738688269884,387.544680210926,1.1701964163188852
B3,uptrend,mid_vol,23,426.79045126867686,1.6448822771808118,34.78260869565217,-1.8671391499963834,7.343839511792333,216.75726179157263,1.517806248235971
