timestamp,open,high,low,close,volume,abs_close_change_pct
2021-05-19 12:53:00+00:00,172.49,172.87,154.31,154.73,83386.282,0.10259830646096735
2021-05-19 13:16:00+00:00,161.71,182.26,158.22,180.0,6792.8,0.11829025844930419
2021-05-19 13:26:00+00:00,160.8,179.0,159.96,178.0,2570.605,0.10696517412935314
2021-05-19 13:33:00+00:00,191.89,199.8,129.6,169.96,23286.686,0.11428422533743277
2021-05-19 13:41:00+00:00,184.11,189.0,152.78,152.78,21630.916,0.1744745231534014
2021-05-19 13:43:00+00:00,162.47,194.08,161.83,192.09,6792.9,0.17407248945663456
2021-05-19 13:54:00+00:00,149.42,190.36,147.65,190.36,7824.354,0.2739927720519344
2021-05-19 13:55:00+00:00,190.36,195.28,150.0,153.65,10867.376,0.1928451355326749
2021-05-19 13:56:00+00:00,152.93,189.89,145.3,189.0,10568.893,0.23006833712984043
2025-10-10 21:18:00+00:00,104.59,105.0,88.87,90.54,225809.459,0.13449956983080003
2025-10-10 21:19:00+00:00,90.41,90.42,69.6,71.71,243314.015,0.20797437596642376
2025-10-10 21:20:00+00:00,71.57,71.61,51.6,54.23,182114.209,0.2437595872263283
2025-10-10 21:21:00+00:00,54.26,68.11,53.58,63.4,187622.94,0.16909459708648344
2025-10-10 21:22:00+00:00,64.1,82.67,63.09,76.98,108885.612,0.2141955835962146
2025-10-10 21:23:00+00:00,77.02,86.31,75.85,86.25,86724.167,0.12042088854247845
2025-10-10 22:05:00+00:00,96.79,96.81,84.3,85.36,103685.156,0.11754367827974777
