symbol,quantile,mae
BNBUSDT,0.5,0.009596194329769991
BNBUSDT,0.9,0.03260271315840101
BNBUSDT,0.95,0.047691048303928056
BNBUSDT,0.99,0.09699833757553163
BTCUSDT,0.5,0.008674294664618776
BTCUSDT,0.9,0.027867495149840556
BTCUSDT,0.95,0.03861805294388282
BTCUSDT,0.99,0.07494203793581211
ETHUSDT,0.5,0.01137939383267672
ETHUSDT,0.9,0.036499162042310074
ETHUSDT,0.95,0.05245047077147244
ETHUSDT,0.99,0.10261239004819155
SOLUSDT,0.5,0.014719566872515077
SOLUSDT,0.9,0.047892313274469904
SOLUSDT,0.95,0.07323364898065529
SOLUSDT,0.99,0.16539090587841418
