prototype,horizon,valid_month_count,positive_month_rate,valid_quarter_count,positive_quarter_rate,worst_month_ret,worst_quarter_ret,stability_status
P0_ALL_TREND_CONTEXT,1,30,1.0,10,1.0,0.002875738830353375,0.005167320546886447,stable
P0_ALL_TREND_CONTEXT,4,30,1.0,10,1.0,0.0013436002431399135,0.0040794755721384815,stable
P0_ALL_TREND_CONTEXT,8,30,0.9666666666666667,10,1.0,-0.0003067775476708599,0.003659433594955098,stable
P0_ALL_TREND_CONTEXT,16,30,0.9,10,1.0,-0.003391575709772459,0.0034828535025767287,stable
P0_ALL_TREND_CONTEXT,32,30,0.8333333333333334,10,1.0,-0.010092315486212542,0.001407038979307136,stable
P1_C1_FIRST_BREAKOUT,1,30,1.0,10,1.0,0.002174602762493751,0.004988607169195972,stable
P1_C1_FIRST_BREAKOUT,4,30,1.0,10,1.0,0.001092640909351485,0.004368120981046745,stable
P1_C1_FIRST_BREAKOUT,8,30,1.0,10,1.0,0.001307736586334531,0.004063308117142992,stable
P1_C1_FIRST_BREAKOUT,16,30,0.9666666666666667,10,1.0,-0.003616762282298103,0.00474235220452586,stable
P1_C1_FIRST_BREAKOUT,32,30,0.8,10,1.0,-0.0023948555472153854,0.0025981458851042655,stable
P2_STRONG_BREAKOUT,1,30,1.0,10,1.0,0.003092725846536756,0.005827255661624137,stable
P2_STRONG_BREAKOUT,4,30,1.0,10,1.0,0.002236787176487055,0.004806598038530196,stable
P2_STRONG_BREAKOUT,8,30,0.9666666666666667,10,1.0,-0.0006643245056292324,0.004425458444212875,stable
P2_STRONG_BREAKOUT,16,30,0.9666666666666667,10,1.0,-0.00764610386228608,0.004250984624183975,stable
P2_STRONG_BREAKOUT,32,30,0.9,10,1.0,-0.013665416626563353,0.004575912717270889,stable
P3_MOMENTUM_TOP20,1,20,1.0,10,1.0,0.003367523402213516,0.00587178494765044,stable
P3_MOMENTUM_TOP20,4,20,0.9,10,1.0,-0.002354782649854692,0.002193492213671578,stable
P3_MOMENTUM_TOP20,8,20,0.85,10,1.0,-0.0048444971011367246,0.0020724817483346067,stable
P3_MOMENTUM_TOP20,16,20,0.9,10,1.0,-0.007309084802231017,0.0016847593850019766,stable
P3_MOMENTUM_TOP20,32,20,0.8,10,1.0,-0.013527621160694114,0.0012062466534590156,stable
P4_BREAKOUT_TOP20,1,26,1.0,10,1.0,0.0057254709855462105,0.008642082443060466,stable
P4_BREAKOUT_TOP20,4,26,0.9615384615384616,10,1.0,-0.0013924075210808517,0.005826987416916427,stable
P4_BREAKOUT_TOP20,8,26,0.9615384615384616,10,1.0,-0.0037331051367946568,0.005798232098131591,stable
P4_BREAKOUT_TOP20,16,26,0.9615384615384616,10,1.0,-0.0054780008796333265,0.005715898726140174,stable
P4_BREAKOUT_TOP20,32,26,0.8846153846153846,10,1.0,-0.007643635635443813,0.009841223471860495,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,1,17,1.0,10,1.0,0.006775634917609667,0.010436431427080308,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,4,17,0.9411764705882353,10,1.0,-0.0006492407161260427,0.007545838186700725,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,8,17,0.9411764705882353,10,1.0,-0.0037486275040256828,0.0049575879992479355,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,16,17,0.8823529411764706,10,1.0,-0.005581473456087378,0.004531111973922074,stable
P5_MOMENTUM_AND_BREAKOUT_TOP40,32,17,0.9411764705882353,10,0.9,-0.006641185301389629,-0.001099925394441613,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,1,29,1.0,10,1.0,0.005164230103622786,0.00745283835507565,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,4,29,0.9655172413793104,10,1.0,-2.240851327889607e-05,0.004325935324082352,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,8,29,0.9310344827586207,10,1.0,-0.0024339434753197072,0.004294475767234405,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,16,29,0.9310344827586207,10,1.0,-0.00682722061207373,0.00429442371371125,stable
P6_MOMENTUM_OR_BREAKOUT_TOP20,32,29,0.896551724137931,10,1.0,-0.010842758731550769,0.004821313956634961,stable
P7_C1_PLUS_MOMENTUM_TOP40,1,2,1.0,5,1.0,0.010994693217011565,0.004578731843456629,insufficient_sample
P7_C1_PLUS_MOMENTUM_TOP40,4,2,1.0,5,1.0,0.012116269927145363,0.004698193200931633,insufficient_sample
P7_C1_PLUS_MOMENTUM_TOP40,8,2,1.0,5,1.0,0.00323160875176145,0.005025842795806041,insufficient_sample
P7_C1_PLUS_MOMENTUM_TOP40,16,2,0.5,5,0.8,-0.00358015868880881,-0.0021511669572945097,insufficient_sample
P7_C1_PLUS_MOMENTUM_TOP40,32,2,0.5,5,1.0,-8.970805783730107e-05,0.004670903065773693,insufficient_sample
P8_C1_PLUS_BREAKOUT_TOP40,1,26,1.0,10,1.0,0.004291926527078845,0.007243758054959486,stable
P8_C1_PLUS_BREAKOUT_TOP40,4,26,1.0,10,1.0,0.0026816599347466905,0.005813350161697959,stable
P8_C1_PLUS_BREAKOUT_TOP40,8,26,1.0,10,1.0,0.0013277240640476417,0.006581042659727698,stable
P8_C1_PLUS_BREAKOUT_TOP40,16,26,0.9230769230769231,10,1.0,-0.004089960383627212,0.005070287796698063,stable
P8_C1_PLUS_BREAKOUT_TOP40,32,26,0.9615384615384616,10,1.0,-0.003928530879119374,0.005833282404801176,stable
